Date,NIFTY_BANK,NIFTY_AUTO,NIFTY_FMCG,NIFTY_IT,NIFTY_PHARMA,NIFTY_OIL_GAS,NIFTY_PRIVATE_BANK,NIFTY_PSU_BANK,NIFTY_COMMODITIES,NIFTY_CONSUMERABLES,NIFTY_FINANCIAL_SERVICES_EXBANK,NIFTY_FINANCIAL_SERVICES25_50,NIFTY_ENERGY
16-Mar-22,1.2199%,2.6647%,1.8862%,-0.8350%,0.1690%,0.1690%,0.1690%,0.1690%,0.3163%,0.1690%,0.1690%,0.1690%,-0.4277%
15-Mar-22,1.3603%,1.4964%,0.1018%,-0.7147%,-0.6018%,-0.6018%,-0.6018%,-0.6018%,-2.3302%,-0.6018%,-0.6018%,-0.6018%,-2.6957%
14-Mar-22,2.3690%,0.5454%,0.1661%,1.7456%,2.0585%,2.0585%,2.0585%,2.0585%,0.3069%,2.0585%,2.0585%,2.0585%,0.2939%
11-Mar-22,2.1154%,1.4765%,3.1637%,-0.2598%,2.5356%,2.5356%,2.5356%,2.5356%,2.2407%,2.5356%,2.5356%,2.5356%,2.1804%
10-Mar-22,3.8215%,4.5846%,4.2876%,0.9705%,1.7756%,1.7756%,1.7756%,1.7756%,2.4880%,1.7756%,1.7756%,1.7756%,2.3680%
09-Mar-22,2.7922%,3.5790%,2.4053%,3.6812%,3.9237%,3.9237%,3.9237%,3.9237%,0.5886%,3.9237%,3.9237%,3.9237%,1.0282%
08-Mar-22,-3.7689%,-3.5214%,-1.8260%,2.5042%,1.9050%,1.9050%,1.9050%,1.9050%,-0.2924%,1.9050%,1.9050%,1.9050%,-1.0828%
07-Mar-22,-6.3066%,-8.2343%,-4.0471%,0.0164%,-0.7723%,-0.7723%,-0.7723%,-0.7723%,-2.3842%,-0.7723%,-0.7723%,-0.7723%,-3.1422%
04-Mar-22,-2.8046%,-6.1011%,-2.1272%,1.3392%,-0.7095%,-0.7095%,-0.7095%,-0.7095%,-2.2391%,-0.7095%,-0.7095%,-0.7095%,-0.1196%
03-Mar-22,-3.6086%,-5.4521%,-1.4158%,0.8276%,-2.2450%,-2.2450%,-2.2450%,-2.2450%,1.0989%,-2.2450%,-2.2450%,-2.2450%,3.0284%
