Date,NIFTY_BANK,NIFTY_AUTO,NIFTY_FMCG,NIFTY_IT,NIFTY_PHARMA,NIFTY_OIL_GAS,NIFTY_PRIVATE_BANK,NIFTY_PSU_BANK,NIFTY_COMMODITIES,NIFTY_CONSUMERABLES,NIFTY_FINANCIAL_SERVICES_EXBANK,NIFTY_FINANCIAL_SERVICES25_50,NIFTY_ENERGY
16-Mar-22,35748.25,10350.1,36273.6,35729.65,13374.5,13374.5,13374.5,13374.5,5769.45,13374.5,13374.5,13374.5,24783.8
15-Mar-22,35022.65,10131.3,35649.95,35097.85,13318.85,13318.85,13318.85,13318.85,5630.3,13318.85,13318.85,13318.85,24347.95
14-Mar-22,35312.15,10074.3,35589.4,36028,13351.9,13351.9,13351.9,13351.9,5751.2,13351.9,13351.9,13351.9,24889.8
11-Mar-22,34546.25,9979.7,35613.65,35348.7,13399,13399,13399,13399,5761.5,13399,13399,13399,25004.3
10-Mar-22,34475.6,10019.35,35530.3,35399.1,13077.05,13077.05,13077.05,13077.05,5733.55,13077.05,13077.05,13077.05,24816.65
09-Mar-22,33815.45,9832.35,34486.95,35440.55,13059.25,13059.25,13059.25,13059.25,5632.4,13059.25,13059.25,13059.25,24459.1
08-Mar-22,33158.1,9560,34006.9,35055.55,12844.85,12844.85,12844.85,12844.85,5590.9,12844.85,12844.85,12844.85,24229
07-Mar-22,32871.25,9480.45,33657.45,34135.9,12546.85,12546.85,12546.85,12546.85,5599.25,12546.85,12546.85,12546.85,24207.6
04-Mar-22,34407.8,9896.65,34627.85,34177.7,12600.15,12600.15,12600.15,12600.15,5607.25,12600.15,12600.15,12600.15,24491.35
03-Mar-22,34944.3,10261.1,35019.6,34130.3,12643.75,12643.75,12643.75,12643.75,5732.75,12643.75,12643.75,12643.75,24968.25
02-Mar-22,35372.8,10500.45,35364.45,33720,12689.55,12689.55,12689.55,12689.55,5732.8,12689.55,12689.55,12689.55,24520.65
28-Feb-22,36205.3,10820.55,35515.4,33847.85,12927.6,12927.6,12927.6,12927.6,5669.75,12927.6,12927.6,12927.6,24212.1
25-Feb-22,36430.75,10895.3,35292.55,33476.95,12899.85,12899.85,12899.85,12899.85,5533.15,12899.85,12899.85,12899.85,23590.6
24-Feb-22,35228.1,10609.8,34735.15,32547.9,12500.1,12500.1,12500.1,12500.1,5329.7,12500.1,12500.1,12500.1,22928.1
23-Feb-22,37392.05,11318.7,35933.1,34114.3,12976.3,12976.3,12976.3,12976.3,5640.4,12976.3,12976.3,12976.3,24164.75
22-Feb-22,37371.65,11343.05,35879.85,34129.55,12954.5,12954.5,12954.5,12954.5,5652.45,12954.5,12954.5,12954.5,24166.35
21-Feb-22,37685.6,11361.6,36200.3,34472,13029.9,13029.9,13029.9,13029.9,5699.45,13029.9,13029.9,13029.9,24174.4
18-Feb-22,37599.15,11420.45,36498.7,34483.05,13208.8,13208.8,13208.8,13208.8,5793,13208.8,13208.8,13208.8,24540.7
17-Feb-22,37531.65,11492.85,36571.7,34634.1,13324.4,13324.4,13324.4,13324.4,5841.4,13324.4,13324.4,13324.4,24757.95
16-Feb-22,37953.8,11509.7,36460.75,34801.9,13425.1,13425.1,13425.1,13425.1,5831.8,13425.1,13425.1,13425.1,24392.95
15-Feb-22,38170.1,11552.3,36438.7,34913.3,13356.9,13356.9,13356.9,13356.9,5840.85,13356.9,13356.9,13356.9,24363.8
